Injuries1 in CCL Investigations2 Sustained in Day Care Centers and Homes,,,,,,,,,,,,,,,,
"July 01, 2017 - July 31, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operation Type3,Operation Number,Operation Name ,Impact Case ID,Impact Stage ID,Class Investigation ID,CLASS Investigaion Number,Date Intake Received ,Date Investigation Completed,Injury,Injury Related to Abuse/Neglect,Injury Determination,Type of Injury,Other Type of Injury,Injury Caused By,Injury Related To,Incident Location
Licensed Center,1603238,LionHeart Children's Academy,45328104,0,1563492,2346143,6/14/2017,7/5/2017,Y,N,Non-Serious,Other,Scratches ,Other,,Child in care at the operation
Licensed Center,239062,Green Acres Child Care Center,,0,1563441,2346106,6/14/2017,7/25/2017,Y,N,Non-Serious,Other,Faint bruise on arm,Other,,Child in care at the operation
Licensed Center,847180,Kids World Learning Center,45327873,69037632,1563428,2346126,6/14/2017,7/13/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,861938-765,Country Home Learning Center #9 LTD,,,1563575,2346185,6/14/2017,8/3/2017,Y,N,Non-Serious,Other,Physical,Other,,Child in care at the operation
Licensed Center,862582,Veterans Early Childhood Enrichment Program,45328618,69045734,1563625,2346184,6/14/2017,7/10/2017,Y,N,Non-Serious,Other,Bump to forehead,Other,,Child in care away from the operation
Licensed Center,1085126,Kool Kids Daycare,,,1563657,2346264,6/15/2017,8/11/2017,Y,N,Non-Serious,Fracture,,Self-Inflicted,Finger,Child in care at the operation
Licensed Center,1163407,Heritage Daycare,,,1563530,2346295,6/15/2017,7/17/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1509002,BBCDC2 INC  Building Blocks,,0,1563837,2346396,6/15/2017,7/13/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1509002,BBCDC2 INC  Building Blocks,,0,1563838,2346404,6/15/2017,7/13/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care away from the operation
Licensed Center,1524412,Kids R Kids #7 of the Woodlands,45329972,69043061,1563566,2346369,6/15/2017,7/14/2017,Y,N,Non-Serious,Contusion,Bruise to forehead,Self-Inflicted,Unknown accident,Child in care at the operation
Licensed Center,1548109,Texas Leadership Charter Academy - YMCA,,,1563597,2346424,6/15/2017,7/13/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,jumped off the stage,Child in care at the operation
Licensed Center,1626881-9091,Kids are Cool Afterschool and Summer Camp,,,1563645,2346524,6/15/2017,8/7/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,406884,Currey Learning Center,,0,1563754,2346392,6/15/2017,8/10/2017,Y,N,Non-Serious,Other,Sprain,Water Activities,Water goggles,Child in care away from the operation
Licensed Center,521205,Alexanders Academy,,,1563569,2346366,6/15/2017,7/13/2017,Y,N,Non-Serious,Burn,,Weather,Sunburn,Child in care away from the operation
Licensed Center,530586,Wee Care Child Care,,,1563523,2346250,6/15/2017,8/11/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,818263,First United Methodist Church Day Care,,0,1563578,2346283,6/15/2017,7/14/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,Outdoor Gate door,Child in care at the operation
Licensed Center,1358766,Childcare Network #197,,,1563666,2346579,6/16/2017,7/6/2017,Y,N,Non-Serious,Other,scratch on nose,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1454366,Comal ISD School Age Child Care - Hoffmann Lane Elementary,,,1563923,2346638,6/16/2017,7/21/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1543107,Explorers Club,,,1563680,2346580,6/16/2017,8/9/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1631744,The Learning Experience,45331392,69046195,1563662,2346565,6/16/2017,7/15/2017,Y,Y,Non-Serious,Burn,,Outdoor Equipment/Structure,Splash pad,Child in care at the operation
Licensed Center,1644024,"Lollipops and Dragons, LLC",,0,1563738,2346666,6/16/2017,7/11/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1646993,Kidz Are Us Learning Center,,,1563639,2346557,6/16/2017,8/14/2017,Y,N,Non-Serious,Other,small cut,Water Activities,slip-n-slide,Child in care at the operation
Licensed Center,895601,Greater Waco Early Education Center,,0,1563765,2346724,6/16/2017,7/19/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1515693,Tiny Treasures Child Care Center,45332903,,1563764,2346929,6/17/2017,7/14/2017,Y,N,Non-Serious,Other,Chin,Other,,Child in care at the operation
Licensed Center,1547033,By the Barnyard Gate,45332466,0,1563922,2347064,6/17/2017,7/31/2017,Y,N,Non-Serious,Other,bit by ants and another child,Other,,Child in care at the operation
Licensed Center,1326068,Wanna Play,,0,1563745,2346765,6/18/2017,7/25/2017,Y,N,Non-Serious,Other,dislocated elbow,Other,,Child in care at the operation
Licensed Center,861921,Martial Arts & Athletic Center,45333660,69054948,1563798,2346721,6/18/2017,7/17/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care away from the operation
Licensed Center,1481286,Pecan Ridge School,45334511,69054528,1563791,2347058,6/19/2017,7/13/2017,Y,N,Non-Serious,Other,Red Marks on body,Other,,Child in care away from the operation
Licensed Center,1514722,Children's Lighthouse Potranco,,0,1563840,2346945,6/19/2017,7/10/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1586316,The Children's Lighthouse at Two Creeks,,,1563913,2347100,6/19/2017,8/9/2017,Y,N,Non-Serious,Other,Nursemaid's Elbow,Other,,Child in care at the operation
Licensed Center,413391,Rainbow Pals Daycare Center,,0,1563813,2347120,6/19/2017,7/11/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,539716,Generations Child Development Centers III,,0,1563767,2346918,6/19/2017,7/5/2017,Y,N,Non-Serious,Other,Nursemaid,Other,,Child in care at the operation
Licensed Center,852556,Adventure Kids Playcare,,,1563839,2347053,6/19/2017,7/13/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,860960-810,Childrens Courtyard,,,1563937,2347338,6/19/2017,8/17/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,129718-684,La Petite Academy-North Belt,,,1563859,2347231,6/20/2017,8/18/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,133307-684,La Petite Academy,,,1563883,2347305,6/20/2017,7/11/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1476750,Linder Young Learners Academy,,,1563932,2347426,6/20/2017,7/24/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,Child placed bead in mouth and bit down on her own,Child in care at the operation
Licensed Center,1521369,"Lobo Gymnastics, Inc.",,,1563992,2347533,6/20/2017,7/7/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1552466,Wee People Day School,45337593,69061979,1564105,2347534,6/20/2017,7/19/2017,Y,N,Non-Serious,Other,Two bruises were on the child stomach. ,Other,,Child in care at the operation
Licensed Center,1557243,Bridge Point Academy,,,1563929,2347393,6/20/2017,8/1/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1579767,Kyle's Bright Beginnings,45337174,0,1563984,2347459,6/20/2017,7/13/2017,Y,N,Non-Serious,Other,bite,Other,,Child in care at the operation
Licensed Center,1615076,Primrose School of Sienna,45335621,69057158,1563851,2347209,6/20/2017,8/2/2017,Y,N,Non-Serious,Contusion,,Discipline,Grabbed by caregiver,Child in care at the operation
Licensed Center,1624702,DBS Kids LLC,,,1563900,2347343,6/20/2017,8/17/2017,Y,N,Non-Serious,Other,injury to foot,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1626133,Rising Stars Learning Center,45336388,69059487,1563963,2347419,6/20/2017,7/18/2017,Y,Y,Serious,Contusion,,Discipline,unknown but inflicted injuries,Child in care at the operation
Licensed Center,403676,Tom Green Elementary Extend A Care,,0,1563979,2347462,6/20/2017,7/18/2017,Y,N,Non-Serious,Fracture,,Self-Inflicted,accidently fell off his friend attempting a piggy back ride.,Child in care at the operation
Licensed Center,520799,Memorial Creme De La Creme,,,1563933,2347370,6/20/2017,8/18/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,524038-806,Valley Ranch Elementary YMCA,,0,1564135,2347478,6/20/2017,7/3/2017,Y,N,Non-Serious,Brain,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,65510,Christian School of Castle Hills Preschool,,0,1563852,2347183,6/20/2017,8/14/2017,Y,N,Serious,Other,Broken Tooth,Other,,Child in care at the operation
Licensed Center,986506,Preston Creek Montessori,45337347,69061959,1564015,2347540,6/20/2017,7/19/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1346066,"Lubbock Body Works at 50th, LLC",,,1564090,2347713,6/21/2017,7/20/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,,Child in care away from the operation
Licensed Center,1451466,Kids in Kare,,,1564114,2347867,6/21/2017,7/20/2017,Y,N,Serious,Internal,,Indoor Equipment/Structure,,Child in care away from the operation
Licensed Center,1465446,LISD Summer Day Camp at Coyote Ridge,,,1564137,2347735,6/21/2017,7/28/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,pool slide,Child in care away from the operation
Licensed Center,1555302,Happy Faces Early Learning Center,,,1563998,2347561,6/21/2017,8/16/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1569810,Kiddie Academy of Pearland-East,,,1564112,2347868,6/21/2017,8/18/2017,Y,N,Non-Serious,Other,Poisoning,Other,,Child in care at the operation
Licensed Center,41245,Green Acres Early Education Center,,,1564023,2347555,6/21/2017,7/7/2017,Y,N,Serious,Laceration,,Indoor Equipment/Structure,slammed finger in door,Child in care at the operation
Licensed Center,510217-806,Town Center Elementary at YMCA,,,1564053,2347662,6/21/2017,7/25/2017,Y,N,Non-Serious,Other,sunburn,Weather,,Child in care away from the operation
Licensed Center,53391,Methodist Childrens Center of Athens First United Methodist,,0,1564091,2347658,6/21/2017,7/12/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,537667,Kings Kids Academy,,0,1564136,2347739,6/21/2017,7/19/2017,Y,N,Non-Serious,Other,Scratch on ankle,Other,,Child in care at the operation
Licensed Center,842871,Kids World Learning Center,,,1564002,2347532,6/21/2017,8/10/2017,Y,N,Non-Serious,Other,loose tooth,Outdoor Equipment/Structure,Running and tripped,Child in care at the operation
Licensed Center,907734,The Kid's Garden Learning Center,,,1564083,2347734,6/21/2017,7/13/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,973307,Primrose School of Kingwood,,0,1564123,2347751,6/21/2017,7/20/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,973307,Primrose School of Kingwood,,0,1564139,2347745,6/21/2017,7/20/2017,Y,N,Non-Serious,Other,Hand/Fingers,Other,,Child in care at the operation
Licensed Center,1059927,Kids R Kids #48 TX,,,1564132,2347876,6/22/2017,7/12/2017,Y,N,Non-Serious,Fracture,,Self-Inflicted,Fall,Child in care at the operation
Licensed Center,1501953,Excellence Academy Child Care & Learning Center,45340338,69068238,1564155,2347949,6/22/2017,7/21/2017,Y,Y,Non-Serious,Contusion,,Other,,Child in care away from the operation
Licensed Center,1554264,Elite Learning Academy 2,,,1564107,2347806,6/22/2017,7/20/2017,Y,N,Non-Serious,Burn,,Other,,Child in care away from the operation
Licensed Center,156402-1967,Stepping Stone School II,,0,1564160,2347951,6/22/2017,7/17/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1567477,Little Treehouse Early Learning Center #4,45341009,,1564240,2348011,6/22/2017,7/16/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1618103,Reggio Emilia Multilingual Preschool Academy,,0,1564163,2347963,6/22/2017,7/19/2017,Y,N,Non-Serious,Other,arm,Other,,Child in care at the operation
Licensed Center,1624800,Kingdom Kids Preschool,,0,1564264,2347957,6/22/2017,8/8/2017,Y,N,Non-Serious,Other,Nose,Indoor Equipment/Structure,Toy,Child in care at the operation
Licensed Center,209138,Kinder Care Learning Center No 1009,,,1564370,2347959,6/22/2017,7/13/2017,Y,N,Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,501134,Ragsdill Schools INC,,0,1564156,2347947,6/22/2017,7/21/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,Playground border that holds the mulch.,Child in care at the operation
Licensed Center,65625,Jewish Community Center Child Care,,,1564131,2347877,6/22/2017,7/20/2017,Y,N,Non-Serious,Other,seizure,Other,,Child in care at the operation
Licensed Center,850683,Kids R Kids 36,0,0,1564150,2347824,6/22/2017,8/3/2017,Y,N,Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,900572-765,Country Home Learning Center #10 LTD.,,,1564161,2347926,6/22/2017,7/18/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,114074,Kindercare Learning Center No.266,45341686,,1564255,2348128,6/23/2017,7/6/2017,Y,N,Non-Serious,Other,bump on head,Indoor Equipment/Structure,knocked over and hit head on the flor,Child in care at the operation
Licensed Center,1372666,Spanish Schoolhouse - Fort Worth,,,1564474,2348266,6/23/2017,7/21/2017,Y,N,Non-Serious,Other,bumped head,Other,,Child in care at the operation
Licensed Center,1509612,Third Day Childcare Academy,,,1564280,2348171,6/23/2017,8/10/2017,Y,N,Serious,Fracture,,Water Activities,Another child fell onto the child,Child in care at the operation
Licensed Center,1540608,Our Little Hopes & Dreams Learning Center @ Oak Hills,,,1564222,2348042,6/23/2017,7/19/2017,Y,N,Non-Serious,Internal,,Outdoor Equipment/Structure,acorn ,Child in care at the operation
Licensed Center,1554264,Elite Learning Academy 2,45342548,69086259,1564299,2348190,6/23/2017,7/21/2017,Y,N,Serious,Burn,,Other,,Child in care at the operation
Licensed Center,1586316,The Children's Lighthouse at Two Creeks,,,1564398,2348182,6/23/2017,8/16/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,Choking,Child in care at the operation
Licensed Center,1658490,Kid City Pearland,,,1564594,2349311,6/23/2017,8/10/2017,Y,N,Non-Serious,Other,Nursemaid Elbow,Discipline,Jerking or yanking or arm,Child in care at the operation
Licensed Center,17856,Christ Church Presbyterian Child Development Center,,,1564246,2348080,6/23/2017,7/21/2017,Y,N,Non-Serious,Other,Nurse Maid Elbow,Other,,Child in care at the operation
Licensed Center,247958,OK Korral Montessori School NO 1,45341678,69070739,1564239,2348079,6/23/2017,8/3/2017,Y,N,Non-Serious,Contusion,Black eye,Self-Inflicted,Unknown cause,Child in care at the operation
Licensed Center,250301,Joe Pinner Branch YMCA,,0,1564449,2348214,6/23/2017,7/31/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,408499,Lord Of Life Lutheran Child Development Center,,0,1564261,2348152,6/23/2017,7/20/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,toilet seat fell on penis,Child in care at the operation
Licensed Center,47064,Kinder Care Learning Ctrs Inc,,0,1564274,2348162,6/23/2017,8/3/2017,Y,N,Non-Serious,Other,scratch,Other,,Child in care at the operation
Licensed Center,527562,Primrose School of Bedford,,,1564266,2348095,6/23/2017,7/10/2017,Y,N,Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,845303,Primrose School of Hall Johnson,,,1564410,2348146,6/23/2017,8/21/2017,Y,N,Non-Serious,Other,Small cut on chin,Other,,Child in care at the operation
Licensed Center,858930,Discovery World Learning Center,45343993,,1564365,2348591,6/24/2017,7/28/2017,Y,N,Non-Serious,Burn,,Other,,Child in care away from the operation
Licensed Center,1110986,USA Planet Kids,,,1564396,2348785,6/26/2017,7/20/2017,Y,N,Non-Serious,Other,hit head on gym floor,Other,,Child in care at the operation
Licensed Center,1342446,"Kinderclub Learning Center, LLC.",,,1564620,2348637,6/26/2017,8/24/2017,Y,N,Non-Serious,Other,Biting ,Other,,Child in care at the operation
Licensed Center,1434646,Legacy Kids Academy,45346022,0,1564488,2348935,6/26/2017,7/14/2017,Y,N,Non-Serious,Other,ant bites,Other,,Child in care at the operation
Licensed Center,1534251,Primrose School of Round Rock North,,0,1564401,2348805,6/26/2017,7/25/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,caught finger in door,Child in care at the operation
Licensed Center,1547033,By the Barnyard Gate,,,1564427,2348306,6/26/2017,7/31/2017,Y,N,Non-Serious,Other,stiches in lip,Indoor Equipment/Structure,skate fall caused snitches in lip,Child in care away from the operation
Licensed Center,1593957,Primrose School of Lantana,,,1564419,2348724,6/26/2017,7/17/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,161961,First Baptist Learning Center,,0,1564534,2348812,6/26/2017,7/24/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,Grass,Child in care at the operation
Licensed Center,1635879,Success Academy Educare Center #2,45345762,,1564428,2348815,6/26/2017,7/25/2017,Y,N,Non-Serious,Other,bump on forehead,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,249307,Child Development Center at Temple Beth Israel,,,1564403,2348811,6/26/2017,7/17/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,floor divider,Child in care at the operation
Licensed Center,527562,Primrose School of Bedford,45346077,69082122,1564435,2348895,6/26/2017,7/25/2017,Y,N,Non-Serious,Other,Hematoma,Other,,Child in care at the operation
