STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
746.4603(6) - Prohibited Equipment - Swinging Gates & Giant Strides,0,0,2,0,False
746.4601(10) - Handrails on Stairs and Steps of  Climbing Equipment,0,0,3,0,False
"746.4953(4) - Safety Requirments of SCPE - Installed, Maintained and Cleaned",0,1,1,0,False
746.5605(2) - Safety Precautions for Loading and Unloading Children - Crossing Street,0,0,1,0,False
746.5605(4) - Safety Precautions for Loading and Unloading Children - No Child Unattended,0,9,21,0,False
746.5607(d)(1) - Safety Seat System - Younger Than 12 Months; 20 lbs or Less,0,2,0,0,False
747.1307(f) - Documented Annual Training- Transportation Safety,3,28,20,0,False
747.1307(e) - Annual Training for Caregivers of Children Under 24 Months,13,39,67,0,False
747.1307(d) - Documented Annual Training - Specific Topics,0,1,1,0,False
747.1307(c) - Documented Annual Training - 6 Hour in Specific Topics,1,3,0,0,False
747.1307(a) - Documented Annual Training - Relevant to the Ages of Children Being Cared For,0,4,6,0,False
747.1305(2) - Orientation - Operation Policies,0,1,1,0,False
747.1305(1) - Orientation - Minimum Standards,0,3,2,0,False
747.1303(3) - Training Requirements for Primary Caregiver - CPR and First Aid,14,69,67,0,False
747.1303(1) - Training Requirements for Primary Caregiver - Pre-application Interview,0,0,2,0,False
747.1301(4) - Training Requirements for Caregivers - CPR and First Aid,1,10,7,0,False
747.1301(3) - Training Requirements for Caregivers - Licensed Homes Annual Training,0,13,47,0,False
747.1301(2) - Training Requirements for Caregivers - Registered Homes Annual Training,8,40,23,0,False
747.1301(1) - Training Requirements for Caregivers - Orientation,1,5,10,0,False
747.1219(b) - High School Equivalent Documentation,0,1,2,0,False
747.1213 - Education Outside of U.S.,0,0,5,0,False
747.1203(a) - Definition of Assistant Caregiver,0,0,1,0,False
747.1137 - Education Outside of U.S.,0,0,1,0,False
747.1107(a)(5) - Primary Caregiver in Licensed Home Qualifications - Education/Experience,0,1,2,0,False
747.1107(a)(2) - Primary Caregiver in Licensed Home Qualifications - HS Diploma/GED,0,1,6,0,False
747.1007(2) - Primary Caregiver in Registered Home Qualifications - HS Diploma/GED,0,2,7,0,False
746.903 - Additional Personnel Records - Director's Certificate,0,0,1,0,False
746.805(1) - Electronic Records- Procedures,0,0,1,0,False
746.707 - Incident/Illness Report Form - Shared with Parents,0,0,1,0,False
746.619(b) - Immunization Requirements for Alternate Care Programs,0,0,1,0,False
746.609(b) - Update Admission Information - Parent Sign and Date,0,2,3,0,False
746.5621(1) - Communication Between Center and Vehicle - Device,0,2,1,0,False
746.5607(d)(7) - Safety Seat System - 8 to 14 Yrs,0,0,2,0,False
746.4601(1) - Safety Requirements for Active Play Equipment - Arranged for Supervision,0,1,3,0,False
747.1307(g) - Documented Annual Training - Self- Instructional up to 80%,1,0,9,0,False
746.4507(a)(2)(B) - Access to Telephone in Same Building to Transmit Messages Regarding Children,0,0,1,0,False
746.4407(a) - Toilets - 13 or More Children,0,0,4,0,False
746.3429(b) - Pest Extermination in Areas Where Children Present Treated Only if Allowed on Label,0,1,0,0,False
746.3425(3) - Wash Hands After Using and Disposing of Gloves,0,1,3,0,False
746.3425(2) - Gloves Discarded After One Use,0,0,1,0,False
746.3425(1) - Caregivers Must Wear Gloves When Handling Bodily Fluids,0,2,4,0,False
746.3417(7) - Children Handwashing After Contact with Harmful Substance,0,0,4,0,False
746.3417(6) - Children Handwashing After Feeding or Touching Animals,0,1,1,0,False
746.3417(2) - Children Handwashing Before Playing in a Water Play Table,0,0,1,0,False
746.3413 - Use of Dishwasher or Washing Machine,0,0,1,0,False
"746.3407(1) - Setting aside toys and equipment that are placed in children?s mouths, or are otherwise contaminated by body secretion or excrement, to be sanitized before handling by another child.",0,0,1,0,False
746.3321(a)(3) - Toothbrushes - Stored Sanitary,0,0,2,0,False
746.3321(a)(1) - Toothbrushes - Labeled with Name,0,1,1,0,False
"746.3317(5) - Food Service and Preparation Requirement - Caregivers with Open-Wounds, Injuries",0,0,1,0,False
746.3431(1) - Private Water Supply Maintained in Safe and Sanitary Manner,0,0,1,0,False
"746.3317(3) - Food Service and Preparation Requirement - Wash Napkins, Bibs and Tablecloths",0,1,3,0,False
746.3311(c) - Nutrition-children encouraged but not forced to eat.,0,1,2,0,False
746.3309(d) - Parent Provided Meals/Snacks - Shared with Other Children,0,1,0,0,False
746.3309(c) - Parent Provided Meals/Snacks -Provide Safe Storage and Service,0,2,3,0,False
746.3305(c) - Daily Food Needs for 6 Years and Older,0,0,3,0,False
746.3303(d) - Nutrition and Food Service - Nighttime Care,0,0,1,0,False
746.3303(c) - Nutrition and Food Service - Child in Care More Than 7 Hours,0,0,1,0,False
746.3301(d) - Nutrition and Food Service - Food Not Reward or Punishment,0,1,12,0,False
746.3301(c) - Nutrition and Food Service- No Beverages with Added Sugar Except for a Special Occasion,0,1,7,0,False
746.3301(b) - Nutrition and Food Service -Drinking Water Available and Served,0,17,51,0,False
746.3207(2) - Nighttime Requirements -Window Not Fire Exit,0,0,1,0,False
746.3123(2) - Special Handling Procedures for Get-Well Care - Garbage Covered,0,1,0,0,False
746.3117(2) - Get- Well Program -Caregiver Qualifications Training in General Infection Control,0,0,1,0,False
746.3317(1) - Food Service and Preparation Requirement - Sanitize Equipment,0,0,5,0,False
746.3431(2) - Private Water Supply Meets Requirements of TCEQ,0,0,1,0,False
746.3601(2) - Illness Preventing Care - Care Compromises Supervision of Other Children,0,0,2,0,False
746.3601(3)(A) - Illness Preventing Care - Temperature of Child (Oral),0,0,1,0,False
746.4401(a) - Handwashing Sinks - 13 or More Children,0,0,1,0,False
746.4313(3) - Additional Requirements For Outdoor Activity Space Not Connected To Center - Other Conditions Specified,0,0,1,0,False
746.4313(2) - Additional Requirements For Outdoor Activity Space Not Connected To Center - Written Plan for Supervision,0,0,2,0,False
"746.405(a)(5) - Required posting of Emergency Telephone numbers-Child-Care Center Name, Address, and Telephone Number",0,1,1,0,False
746.405(a)(3) - Required posting of Emergency Telephone number-Dept Family Protective Srvs Child Abuse Hotline,0,1,0,0,False
746.405(a)(2) - Required posting of Emergency Telephone numbers-Poison Control Phone Number,0,0,1,0,False
746.405(a) - Required posting of Emergency Telephone numbers,0,2,5,0,False
746.403(b) - Posting Requirements - Emergency Plans In Each Room,0,1,3,0,False
746.401(7)(D) - Posting Requirements - Available for review-Licensing minimum standards applicable for child care centers,0,0,1,0,False
746.401(7)(C) - Posting Requirements - Available for review-most recent gas inspection report,0,2,5,0,False
746.401(7)(B) - Posting Requirements - Available for review-most recent sanitation inspection report,0,2,8,0,False
746.401(7) - Posting Requirements - Licensing Notice of Availability for Review,0,1,10,0,False
746.401(4) - Posting Requirements - Emergency and evacuation relocation Plans,0,2,9,0,False
746.401(10) - Posting Requirements - Any other Licensing notices with specific instructions to post,0,1,5,0,False
746.4001(4) - First Aid Kit - Stored in Designated Location,0,0,3,0,False
746.4001(3) - First Aid Kit - Easily Accessible to Employees,0,0,2,0,False
746.4001(1) - First Aid Kit - Clearly Labeled,0,1,0,0,False
746.3901(2) - Animals at Center - Do Not Create Unsafe or Unsanitary Conditions,0,0,1,0,False
746.3815(b) - Specialized Medical Assistance - Maintain Written Recommendations or Orders in Child's File for 3 Months,0,0,2,0,False
746.3811 - Notify Parents in Policy if Not Administering Medication,0,1,0,0,False
746.3807(2) - Storage of Medication - Not Contaminate Food,0,1,2,0,False
746.3805(a)(2) - Administering Medication - As Amended in Writing by Child's Health Care Professional,0,0,2,0,False
746.3709 - No Exploding/Shooting Toys,0,0,1,0,False
"746.3707(c) - Firearms, Hunting Knives, Bows and Arrows, Weapons In Homes Kept in Locked Cabinet, Inaccessible to Children",0,0,1,0,False
"746.3707(b) - Firearms, Hunting Knives, Bows and Arrows, Weapons Prohibited Unless Residence",0,1,4,0,False
746.3703(b) - No Alcohol or Controlled Substances Consumed,0,0,1,0,False
746.3603 - Communicable Diseases That Exclude Child from Care,0,0,1,0,False
746.4507(a)(1) - Telephone with Listed Number,0,0,4,0,False
747.1309(a)(1) - Primary Caregiver Annual Training - Relevant to the Ages of Children Being Cared For,0,0,1,0,False
747.1309(b) - Primary Caregiver Annual Training - 6 Hours in Specific Topics,0,0,1,0,False
747.1309(c) - Primary Caregiver Annual Training -Less Than 5 Years Experience,0,1,8,0,False
747.3203(3) - Machine Wash Linens,0,1,0,0,False
"747.3203(10) - Facility Heated, Lighted and Ventilated Properly",0,1,3,0,False
747.3121(a)(3) - Toothbrushes - Stored Sanitary,0,0,1,0,False
747.3119(a) - Meal and Snack Service - Adult Supervision,0,1,0,0,False
747.3117(6) - Food Service and Preparation - No Foods That Present Choking Risk,0,2,2,0,False
747.3117(2) - Food Service and Preparation - Single Use Items if Cannot Sanitize,0,1,0,0,False
747.3117(1) - Food Service and Preparation - Sanitize Equipment,0,1,0,0,False
747.3117 - Food Service and Preparation - Safe and Sanitary,0,3,2,0,False
747.3111(a) - Special Diets - Written Approval from Physician,0,0,1,0,False
747.3109(a) - Parent Provided Meals/Snacks - Statement on Enrollment Agreement,2,2,3,0,False
747.3105(c) - Daily Food Needs for 6 Years and Older,0,0,1,0,False
747.3105(b) - Daily Food Needs for 3 Years - 5 Years,0,0,4,0,False
"747.3207(1)(B) - Disinfecting Solution for Surfaces - Bathrooms, Diaper-changing Tables",0,6,4,0,False
747.3105(a) - Daily Food Needs for 12 Months - 2 Years,0,1,3,0,False
747.3103(a) - Nutrition and Food Service - Child in Care Less Than 4 Hours,0,0,1,0,False
747.3101(c) - Nutrition and Food Service- No Beverages with Added Sugar Except for a Special Occasion,1,1,0,0,False
747.3101(b) - Nutrition and Food Service -Drinking Water Available and Served,2,5,4,0,False
747.3101(a)(2) - Nutrition and Food Service -Every Three Hours,1,0,0,0,False
747.305(a)(3) - Parental Communication - Child in Situation of Risk,0,1,0,0,False
747.303(a)(3) - Report Outbreak of Communicable Illness,0,0,1,0,False
