NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_ID
"Drector was missing trainings in:  (1) Emergency preparedness;     (2) Preventing and controlling the spread of communicable diseases, including immunizations;     (3) Administering medication,     (4) Preventing and responding to emergencies due to food or an allergic reaction;     (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and     (6) Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,07/07/2017,373591
"Based on the information gathered, a caregiver had her back turned changing diapers when a child was injured while in care.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,04/13/2017,1149745
"Based upon the information obtained during the investigation, the caregiver did not properly notify the parent, when a child fell on the playground and showed signs of possible injury.	All caregivers maintain responsibility for the health, safety, and well-being of the children they are supervising. Any delays in seeking medical attention can exacerbate the degree of medical treatment required.",746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,12/05/2017,1287902
Caregivers did not report the incident within the required timeframe.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/29/2016,288394
It was found during an investigation that parents of a child that was put at risk and received an injury was not informed of the incident.,746.307(a)(3) - Parental Communication - Situation that Placed a Child at Risk,Medium High,06/15/2017,1187894
The operation failed to notify licensing of the injury that occurred at the operation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,08/24/2016,215967
Five children in care reported staff used excessive and/or inappropriate force which caused discomfort and pain to the child. One staff reported using an inappropriate technique which does not minimize the risk for harm or injury to a child in care.,"748.2551(c)(1) - EBI Implementation-Caregiver must minimize risk of physical discomfort, harm, or pain to the child",High,05/02/2016,757529
"The director was missing annual training on the following topics: Preventing and responding to emergencies due to food or an allergic reaction; and  Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic.",746.1311(f) - Director Annual Training - Additional required topics,Medium,12/25/2017,931788
"Based on evidence obtained during the investigation, the center did not notify Licensing  that a child received medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/01/2016,311166
There were holes on two playgrounds that are tripping hazards. Vines are overgrown and may cause injury to children who are running.,"746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,09/21/2017,1105161
Incident reports were found to lack vital information regarding injuries to a child in care.,"748.103(a)(3) - Permit holder responsibilities-Maintain true, current, accurate, and complete records at operation for Licensing's review",Medium,07/01/2016,353978
"Based on information obtained, the director failed to supervise staff adequately to be able to identify that a staff member needed assistance, thus enabling a situation to escalate to a point where a child sustained an injury.",746.1003(4) - Director Responsibilities - Employees Supervised,High,07/21/2017,116683
A caregiver did not demonstrate good judgment and self control when she took a child by the arm and swung the child from the playground area and placed the child on the sidewalk. The caregiver was attempting to keep the one child from hurting two other children but used poor judgment in this attempt. NOTE: Caregiver was terminated for this action.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,11/09/2016,1242209
